"";"Group.1";"taux_CHOM1564_POP1564";"P20_CHOM1564";"P20_POP1564";"euclidean_distance";"euclidean_distance_centroid";"VAL";"NBFLUX_C19_ACTOCC15P"
"950";"92049";8,12180398049732;1480,99218721775;16033,1663644239;24352,1516255555;24707,866281655;41360,37;26742,7780473676
"951";"92050";7,69076250401992;1048,04693384343;11461,5108640872;30693,7184755202;29570,5414032773;64838,81;80601,3048073003
"952";"92051";8,05082781258396;1367,17222874382;14817,0012672561;26564,7197737326;26257,8752879267;45466,42;44488,584769017
"953";"92060";8,03911296594385;1658,29248675938;18010,0166268811;21546,3762004836;22310,3763658574;36462,44;13868,5213065702
"954";"92062";7,67696562518517;1096,99809482422;11995,9735888949;29388,0688405287;28754,9089299558;57802,04;74903,7320585644
"955";"92063";7,87508728697698;1304,03967149531;14144,2788767635;26680,6011212283;26324,0114508464;53470,15;39762,0712864946
"956";"92064";8,21007918242369;1646,50723309538;17748,6779778089;22955,1865471433;22998,9267900349;33495,69;16586,3708515382
"957";"92071";8,69301331483469;2433,50616393318;25953,9500232049;16670,3418008975;17236,7801039505;15623,29;5569,35808893765
"958";"92072";8,42319790941253;2000,86444702025;21581,7283086254;20634,7315062288;20013,2606472474;24414,01;9268,38590058276
"959";"92073";8,08161283302898;1461,95661357484;15843,3252826958;25578,7690500367;25288,8734624034;40231,14;27350,2782699666
"960";"92075";8,73998887967947;2196,04477492358;23508,8778533469;19907,3042945475;19692,4735587996;21788,79;7517,54233543273
"961";"92076";8,31579897169877;2397,54050141202;26292,5685601884;16605,7358532215;18359,214943083;13445,68;2491,16050476877
"962";"92077";8,36316146401271;2879,49450549234;32205,5582063356;14933,9501583046;15595,0525237262;7552,38;1911,41004108365
"963";"92078";8,65761770164842;1942,16291189265;20656,089223463;21424,3754751611;20791,3102951032;26105,02;9149,65907194207
"964";"93001";8,37552526236905;1498,05704475911;16109,5972412468;25591,2609913517;25223,1191211421;40692,26;31954,0109262724
"965";"93005";8,32403843202174;1557,91858219223;16637,8735774918;24785,7954917338;24533,703908826;40671,3;25798,015595879
"966";"93006";8,56856724611685;1837,3120565788;19661,9187335539;22137,3435200349;22291,7667087373;29716,6;13501,4595759465
"967";"93007";8,64064978380533;1985,10007427937;20927,6507714099;20485,8672641685;20681,8953145179;25821,33;11380,0104142795
"968";"93008";8,21608274875698;1478,32574240075;15894,3650158792;25460,7052817831;25681,672890567;43471,41;28370,1069458601
"969";"93010";8,74456831725838;1923,61758533531;20205,3779145682;22286,9182363733;22860,5228059082;27468,99;12642,0507567119
"970";"93013";8,46177672055558;1796,30691079725;19155,1411391926;22585,3694768989;22144,4627981254;28529,38;7771,04273274179
"971";"93014";9,20201247389772;2490,03219569521;24971,7951831856;18846,6476869938;19596,2087497368;16222,65;5075,14012009692
"972";"93015";9,96316664663387;3055,9492635461;26519,1589407485;11111,7100088547;18436,0488690683;3236,37;580,923291437628
"973";"93027";8,6278844497742;1851,20942544955;19707,7175467745;22335,6696390447;21516,883129635;29669,43;12629,2440369998
"974";"93029";8,64340234205303;1995,85237715948;21074,6901657521;20356,1921978698;20388,0408616328;24074,2;12618,6853722036
"975";"93030";8,93367335789722;2643,19332675107;27609,0900452381;16955,507593293;17200,500929588;13656,01;2836,06979211093
